AGUA;Agua
ATT;Atenciones
AZAF;Azafata
CIBERS;Cibersecurity
CONTE;Contenido (ingresos)
CORRE;Correos
DIETAS;desplaz./dietas
DOM;Dominio
ENCUAD;Encuadernación
FOTOME;Fotomecánica
GASOL;Gasolina
GEN;Generales
HOSTI;Hosting
IMAG;Imagen
IMPREN;Imprenta
KMS;kilometraje
LICEN;Licencia
LUZ;Luz
MANIP;Manipulado
OFFER;Offering
PAP;Papel
PARK;Parking
PEA;Peajes
PLAST;Plastificado
PORTE;Portes
PREMSF;Premios SF
PROGR;Programación
PUBLI;Publi (ingresos)
