DIG;Digital
EVE;Eventos
PRINT;Print
GEN;Generales
PED;Personal Directo
PEI;Personal Indirecto
PKD;PERSONAL KAUIL DIRECTO
PKI;PERSONAL KAUIL INDIRECTO
