ARQ;Arquitectura
CAM;Camping
CAR;Caravaning
CON;CONTACT CENTER 
CPROF;Camping Profesional
DEN;Dental
DEP;Deporte
EDU;Educación
EVE;Eventos
GEN;Generales
HOST;Hostelería
MARH;Marketing Hotelero
PECK;Pecket
RES;Restauración
SEG;Seguridad
